CustomerID,CustomerName,Email,Phone,Gender,Age,RiskBand,RegionID
200000,Cust_00000,user0@masked.com,+XXX-XXX-1000,M,78,D,6135
200001,Cust_00001,user1@masked.com,+XXX-XXX-1001,F,20,B,6059
200002,Cust_00002,user2@masked.com,+XXX-XXX-1002,M,27,A,6042
200003,Cust_00003,user3@masked.com,+XXX-XXX-1003,F,29,A,6214
200004,Cust_00004,user4@masked.com,+XXX-XXX-1004,F,38,C,6088
200005,Cust_00005,user5@masked.com,+XXX-XXX-1005,F,56,B,6166
200006,Cust_00006,user6@masked.com,+XXX-XXX-1006,F,24,C,6113
200007,Cust_00007,user7@masked.com,+XXX-XXX-1007,M,41,C,6175
200008,Cust_00008,user8@masked.com,+XXX-XXX-1008,M,34,C,6101
200009,Cust_00009,user9@masked.com,+XXX-XXX-1009,F,22,C,6144
200010,Cust_00010,user10@masked.com,+XXX-XXX-1010,F,19,C,6185
200011,Cust_00011,user11@masked.com,+XXX-XXX-1011,F,48,A,6072
200012,Cust_00012,user12@masked.com,+XXX-XXX-1012,M,25,A,6134
200013,Cust_00013,user13@masked.com,+XXX-XXX-1013,M,18,A,6068
200014,Cust_00014,user14@masked.com,+XXX-XXX-1014,M,19,E,6217
200015,Cust_00015,user15@masked.com,+XXX-XXX-1015,F,21,E,6097
200016,Cust_00016,user16@masked.com,+XXX-XXX-1016,M,71,B,6073
200017,Cust_00017,user17@masked.com,+XXX-XXX-1017,M,38,B,6145
200018,Cust_00018,user18@masked.com,+XXX-XXX-1018,F,52,E,6103
200019,Cust_00019,user19@masked.com,+XXX-XXX-1019,M,40,A,6135
200020,Cust_00020,user20@masked.com,+XXX-XXX-1020,F,60,B,6000
200021,Cust_00021,user21@masked.com,+XXX-XXX-1021,F,34,C,6034
200022,Cust_00022,user22@masked.com,+XXX-XXX-1022,M,63,B,6160
200023,Cust_00023,user23@masked.com,+XXX-XXX-1023,F,63,D,6098
200024,Cust_00024,user24@masked.com,+XXX-XXX-1024,F,72,A,6050
200025,Cust_00025,user25@masked.com,+XXX-XXX-1025,M,58,B,6018
200026,Cust_00026,user26@masked.com,+XXX-XXX-1026,F,38,D,6122
200027,Cust_00027,user27@masked.com,+XXX-XXX-1027,F,37,C,6202
200028,Cust_00028,user28@masked.com,+XXX-XXX-1028,F,23,A,6172
200029,Cust_00029,user29@masked.com,+XXX-XXX-1029,M,56,D,6176
200030,Cust_00030,user30@masked.com,+XXX-XXX-1030,M,43,C,6139
200031,Cust_00031,user31@masked.com,+XXX-XXX-1031,F,47,B,6031
200032,Cust_00032,user32@masked.com,+XXX-XXX-1032,M,35,B,6056
200033,Cust_00033,user33@masked.com,+XXX-XXX-1033,M,50,C,6204
200034,Cust_00034,user34@masked.com,+XXX-XXX-1034,M,70,C,6136
200035,Cust_00035,user35@masked.com,+XXX-XXX-1035,F,25,A,6045
200036,Cust_00036,user36@masked.com,+XXX-XXX-1036,F,75,A,6036
200037,Cust_00037,user37@masked.com,+XXX-XXX-1037,M,44,D,6043
200038,Cust_00038,user38@masked.com,+XXX-XXX-1038,F,73,E,6108
200039,Cust_00039,user39@masked.com,+XXX-XXX-1039,M,79,D,6185
200040,Cust_00040,user40@masked.com,+XXX-XXX-1040,M,49,B,6161
200041,Cust_00041,user41@masked.com,+XXX-XXX-1041,M,22,A,6199
